variant,canonical,source
MALLORY AND STERN,MALLERY AND STERN,donor_overlap
MCGIREWOODS,MCGUIREWOODS,donor_overlap
MONARCH CASINO AND RESORTS,MONARCH CASINO AND RESORT,donor_overlap
TTHE RON KAUFMAN COMPANIES,THE RON KAUFMAN COMPANIES,donor_overlap
RIVERSTONE COMMINITIES,RIVERSTONE COMMUNITIES,donor_overlap
CROWDSRIKE,CROWDSTRIKE,donor_overlap
RHNE GROUP,RHONE GROUP,donor_overlap
SANHURST,SANDHURST,donor_overlap
BROWNSTEIN HYATT FARBER SCHREK,BROWNSTEIN HYATT FARBER SCHRECK,donor_overlap
SUTTONS SQUARE GROUP,SUTTON SQUARE GROUP,donor_overlap
CEDAR SINAI MEDICAL CENTER,CEDARS-SINAI MEDICAL CENTER,donor_overlap
FUNDAMENTAL ADVISOR LP,FUNDAMENTAL ADVISORS LP,donor_overlap
GURDIAN DENTISTRY PARTNERS,GUARDIAN DENTISTRY PARTNERS,donor_overlap
LIEBERT CASSIDY WHITORE,LIEBERT CASSIDY WHITMORE,donor_overlap
BEHAVIORIAL MEDICINE ASSOCIATES,BEHAVIORAL MEDICINE ASSOCIATES,donor_overlap
CRDIT AGRICOLE CIB,CREDIT AGRICOLE CIB,donor_overlap
3 ART ENTERTAINMENT,3 ARTS ENTERTAINMENT,donor_overlap
ABA,AMERICAN BANKERS ASSOCIATION,donor_overlap
ACE,ATLANTIC COAST ENTERPRISES,donor_overlap
AEI,AMERICAN EDUCATIONAL INSTITUTE,donor_overlap
AGG,ARNALL GOLDEN GREGORY,donor_overlap
AHS,AMERICAN HOSPICE SYSTEMS,donor_overlap
AIP,AMERICAN INDUSTRIAL PARTNERS,donor_overlap
AMERICAN EDUCATION INSTITUTE,AMERICAN EDUCATIONAL INSTITUTE,donor_overlap
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITT,AIPAC,donor_overlap
APPIED INTUIITION,APPLIED INTUITION,donor_overlap
ARA,AUSTIN RADIOLOGICAL ASSOCIATION,donor_overlap
ASG,ASSESSMENT SOLUTIONS GROUP,donor_overlap
AWRE,ALFRED WEISSMAN REAL ESTATE,donor_overlap
BELKIN BURDER GOLDMAN,BELKIN BURDEN GOLDMAN,donor_overlap
BELKIN*BURDEN*GOLDMAN,BELKIN BURDEN GOLDMAN,donor_overlap
BEP,BEST ENERGY POWER,donor_overlap
BGCP,BRODIE GENERATIONAL CAPITAL PARTNERS,donor_overlap
BHFS,BROWNSTEIN HYATT FARBER SCHRECK,donor_overlap
BHS,BROWN HARRIS STEVENS,donor_overlap
BMC,BUSINESS MACHINES CONSULTANTS,donor_overlap
BROWN + BROWN,BROWN & BROWN INSURANCE,donor_overlap
"CALIFORNIA STATE UNIVERSITY, NORTHRIDG",CALIFORNIA STATE UNIVERSITY NORTHRIDGE,donor_overlap
CARDIOVASCULAR CONSULTANT OF LONG ISLA,"CARDIOVASCULAR CONSULTANTS OF LONG ISLAND, P.C.",donor_overlap
CATALYST PHYSICIAN GROUP,CATALYST PHYSICIANS GROUP,donor_overlap
CCC,CLEARWATER CARDIOVASC CONSULTANTS,donor_overlap
CCM,COMPREHENSIVE COMMERCIAL MANAGEMENT,donor_overlap
CDG,COMMUNITY DEVELOPMENT GROUP,donor_overlap
CFP,CAROLINA FACIAL PLASTICS,donor_overlap
CIG,CONSOLIDATED INVESTMENT GROUP,donor_overlap
COOK CHILDRENS HOSPITAL,COOK CHILDREN'S HOSPITAL,donor_overlap
CPG,CATALYST PHYSICIANS GROUP,donor_overlap
CRES,CLEVELAND REAL ESTATE SERVICES,donor_overlap
CRP,CHESAPEAKE REALTY PARTNERS,donor_overlap
CSIMG,CEDARS-SINAI MEDICAL CENTER,donor_overlap
CSUN,CALIFORNIA STATE UNIVERSITY NORTHRIDGE,donor_overlap
CTC,CHICAGO TRADING COMPANY,donor_overlap
CTPO,CENTRAL TEXAS PEDITRIC ORTHOPEDICS,donor_overlap
CUNEO HILBERT AND LADUCA,CUNEO GILBERT AND LADUCA,donor_overlap
DAVE PERRY-MILLER REAL ESTATE,DAVE PERRY MILLER REAL ESTATE,donor_overlap
DAYTONA STREET CAPJITAL,DAYTONA STREET CAPITAL,donor_overlap
DIC,DANTO INVESTMENT CO,donor_overlap
DLPR,DUKAS LINDEN PUBLIC RELATIONS,donor_overlap
DOCS,DERMATOLOGISTS OF CENTRAL STATES,donor_overlap
DONE COMMUNITY BANK,DIME COMMUNITY BANK,donor_overlap
DOWN-TO-EARTH TECHNOLOGIES,DOWN TO EARTH TECHNOLOGIES,donor_overlap
EMAI INV,EMA INV MGMT,donor_overlap
EMERALD//COHEN AND COMPANY,EMERALD/ COHEN AND COMPANY,donor_overlap
ETC,EVEREDE TOOL COMPANY,donor_overlap
FCP,FORTUNE CAPITAL PARTNERS,donor_overlap
FFL,FIT FOR LIFE,donor_overlap
FOA,FLORIDA ORTHOPAEDIC ASSOCIATES,donor_overlap
FOCUS PATNERS WEALTH,FOCUS PARTNERS WEALTH,donor_overlap
FUNDAMENTAL ADVISOR,FUNDAMENTAL ADVISORS,donor_overlap
GMU,GEORGE MASON UNIVERSITY,donor_overlap
GRSM,GORDON REES SCULLY MANSUKHANI,donor_overlap
GRUNBERG MANAGAEMENT,GRUNBERG REALTY,donor_overlap
HIGHCAPE,HIGHCAPE CAPITAL,donor_overlap
HIJ,HARRIS INVESTMENT GROUP,donor_overlap
IDEA,INTERNATIONAL DEVELOPMENT ENTERPRISES ASSOC,donor_overlap
IRA KATZ CONSULTANT,IRA KATZ CONSULTING,donor_overlap
IRT,INLAND REAL ESTATE TRUST,donor_overlap
JGDB,JAFFA GROUP DESIGN BUILD,donor_overlap
JNF,JEWISH NATIONAL FUND,donor_overlap
JTWM,JAFFE TILCHIN WEALTH MANAGEMENT,donor_overlap
KOVITZ INVESTMENTS GROUP,KOVITZ INVESTMENT GROUP,donor_overlap
KKS,KRAUSE KALFAYAN SMITH,donor_overlap
LEGAL AID SOCIETY OF PALM BEACH,LEGAL AID SOCIETY OF PALM BEACH COUNTY,donor_overlap
LOLV,LEXUS OF LEHIGH VALLEY,donor_overlap
MARCH CAPITAL PARNTERS,MARCH CAPITAL PARTNERS,donor_overlap
MBOS,MARINA BAY OPEN SPACE,donor_overlap
MCN,MERCER CAPITAL,donor_overlap
MMT,MASSACHUSETTS MATERIALS TECHNOLOGIES,donor_overlap
MOH,MARYLAND ONCOLOGY HEMATOLOGY,donor_overlap
MPT,MARINE POLYMER TECHNOLOGY,donor_overlap
NATIONAL COLLECTORS MINT,NATIONAL COLLECTOR'S MINT,donor_overlap
NGPC,NORTH GEORGIA PAIN CLINIC,donor_overlap
NJCA,NEW JERSEY CARDIOLOGY ASSOCIATES,donor_overlap
NLC,NORTHSIDE LAW CENTER,donor_overlap
NSP,NEOTA SOCIAL PERFORMANCE,donor_overlap
PATRIDGE,PARTRIDGE,donor_overlap
PERCETVION COMMS,PERCEPTION COMMS,donor_overlap
PLG,PESSAH LAW GROUP,donor_overlap
RADOLOGY ASSOCIATES OF CLEARWATER,RADIOLOGY ASSOCIATES OF CLEARWATER,donor_overlap
RAINBOW CROW CUSUTOM INTERIORS,RAINBOW CROW CUSTOM INTERIORS,donor_overlap
SAADIA GROUP LCC,SAADIA GROUP,donor_overlap
SAE INTERNATINAL,SAE INTERNATIONAL,donor_overlap
SGE,SUSQUEHANNA INTERNATIONAL GROUP,donor_overlap
SOUTH BEACH ESATES GROUP,SOUTH BEACH ESTATES GROUP,donor_overlap
STROOCK AND STROOCK AND LAVAN,STROOCK,donor_overlap
TFQ,THE FEMALE QUOTIENT,donor_overlap
UBER TECHNOLOGOIES,UBER TECHNOLOGIES,donor_overlap
VHP,VILLAGE HEALTH PARTNERS,donor_overlap
WEST COAST ARBORIST,WEST COAST ARBORISTS,donor_overlap
WILLAM MORRIS AGENCY,WILLIAM MORRIS AGENCY,donor_overlap
YENKIN-MAJESTIC PAINT,YENKIN MAJESTIC PAINT,donor_overlap
ARTISTIC TILE INCV,"ARTISTIC TILE, INC.",donor_overlap
SIXTY HOTLES,SIXTY HOTELS,donor_overlap
STORAGE PROS MANAGENEBT,STORAGE PROS MANAGEMENT,donor_overlap
22C CAPTIAL,22C CAPITAL,donor_overlap
AKIN GUMP STRAUSS HAVER & FELD,AKIN GUMP STRAUSS HAUER & FELD LLP,donor_overlap
QUINN EMANUEL URQUHARD & SULLIVAN,QUINN EMANUEL URQUHART & SULLIVAN LLP,donor_overlap
SCHULTE ROTHE & ZABEL,SCHULTE ROTH & ZABEL LLP,donor_overlap
SANTA MONICA PARNTERS LP,SANTA MONICA PARTNERS,donor_overlap
KAMRAS AND POLANSKY MEDICAL CORPORATIO,KAMRAS AND POLANSKY MEDICAL CORP,donor_overlap
KIRKLAND & ELIS,KIRKLAND & ELLIS,donor_overlap
KIRKLAND & ELLS LLP,KIRKLAND & ELLIS LLP,donor_overlap
KIRKLAND & ELIS LLP,KIRKLAND & ELLIS LLP,donor_overlap
KIRKLAND & RELLIS LLP,KIRKLAND & ELLIS LLP,donor_overlap
SULIVAN & WORCESTER LLP,SULLIVAN & WORCESTER LLP,donor_overlap
CREATIVE ARTIST AGENCY,CREATIVE ARTISTS AGENCY,donor_overlap
UNIVERISTY OF CONNECTICUT,UNIVERSITY OF CONNECTICUT,donor_overlap
WAYNE STTAE UNIVERSITY,WAYNE STATE UNIVERSITY,donor_overlap
SETON HALL UNIVERSOTY,SETON HALL UNIVERSITY,donor_overlap
CHILVIS GRUBMAN WARNER & BERRY LLP,CHILIVIS GRUBMAN WARNER & BERRY LLP,donor_overlap
CONTINENTAL REALTY COORPORATION,CONTINENTAL REALTY CORPORATION,donor_overlap
STIFFEL,STIFEL FINANCIAL,donor_overlap
LAWRENCE BERKLEY NATIONAL LAB,LAWRENCE BERKELEY NATIONAL LAB,donor_overlap
CAMPBELL PROPERTY MANAGEMEN,CAMPBELL PROPERTY MANAGEMENT,donor_overlap
SHADER BROS CORP,SHADER BROTHERS CORP,donor_overlap
TAMAROFF MTS,TAMAROFF MOTORS,donor_overlap
"NEMAN BROS. & ASSOCIATES, INC","NEMAN BROTHERS & ASSOCIATES, INC.",donor_overlap
HUSCH EPPENBERG,HUSCH & EPPENBERGER,donor_overlap
PROHEALTH PROFESSIONAL SVCS.,PROHEALTH PROFESSIONAL SERVICES,donor_overlap
MIDSTATE RADIOLOGY ASSOC,MIDSTATE RADIOLOGY ASSOCIATES,donor_overlap
"NEMAN BROTHERS & ASSOC., INC.","NEMAN BROTHERS & ASSOCIATES, INC.",donor_overlap
UNIV OF KANSAS HEALTH SYSTEM,UNIVERSITY OF KANSAS,donor_overlap
AMERICAN EDUCATIONAL INST,AMERICAN EDUCATIONAL INSTITUTE,donor_overlap
SILVER INVESTMENTS LTD,SILVER INVESTMENTS LIMITED,donor_overlap
LAWRENCE LIVERMORE NATIONAL LAB,LAWRENCE LIVERMORE NATIONAL LABORATORY,donor_overlap
JAFFE TILCHIN WEALTH MGMT,JAFFE TILCHIN WEALTH MANAGEMENT,donor_overlap
FOOTHILLS LAND AND DEVEL,FOOTHILLS LAND AND DEVELOPMENT,donor_overlap
BETH ISRAEL LAHEY HES,BETH ISRAEL LAHEY HEALTH,donor_overlap
ANESTHESIA SERVICES OF BHAM,ANESTHESIA SERVICES OF BIRMINGHAM,donor_overlap
RESOLUTION CAPITOL MGMT,RESOLUTION CAPITOL MANAGEMENT,donor_overlap
GERALD M. COHEN PA,GERALD COHEN PA,donor_overlap
PORTAGE TECHNOLOGY,PORTAGE TECHNOLOGIES,donor_overlap
HAIVISION NETWORK VIDEO,HAIVISION,donor_overlap
SOUTH JERSEY PROSTHODONTIC ASSOC,SOUTH JERSEY PROSTHODONTIC ASSOCIATES PA,donor_overlap
13TH FLOOR MANAGER LLC,13TH FLOOR INVESTMENTS,manual
18MGMT,18 MANAGEMENT,manual
1ST CENTURY,1ST CENTURY BANK,manual
21IN21,21 IN 21,manual
3 ARTS ENT,3 ARTS ENTERTAINMENT,manual
3 ARTS ENTERTAINMENT / MICHAEL ROTENBE,3 ARTS ENTERTAINMENT,manual
51 RAILROAD,LESLIE 2 HOLDING LLC,manual
A&O SHEARMAN,SHEARMAN & STERLING,manual
A.S.K. FINANCIAL,ASK LLP,manual
ADAMS & CO. REAL ESTATE,ADAMS AND COMPANY REAL ESTATE,manual
ADAMS AND CO REAL ESTATE,ADAMS AND COMPANY REAL ESTATE,manual
ADAMS AND CO. REAL ESTATE,ADAMS AND COMPANY REAL ESTATE,manual
"ADAMS AND COMPANY REAL ESTATE, LLC",ADAMS AND COMPANY REAL ESTATE,manual
ADC,ADC THERAPEUTICS,manual
ADCT,ADC THERAPEUTICS,manual
ADVOCARE GROVE FAMILY MEDICAL ASSOC,ADVOCARE GROVE FAMILY MEDICAL ASSOCIATES,manual
ADVOCARE GROVE FAMILY MEDICAL ASSOCIAT,ADVOCARE GROVE FAMILY MEDICAL ASSOCIATES,manual
ADVOCATE HEALTH CARE,ADVOCATE AURORA HEALTHCARE,manual
AETNA LIFE & CASUALTY,AETNA,manual
AFFILIATEDHEALTHCARE.COM,AFFILIATED HEALTHCARE,manual
AFLAC INCORPORATED,AFLAC,manual
AKERMAN LLPO,AKERMAN LLP,manual
AKIN,AKIN GUMP STRAUSS HAUER & FELD LLP,manual
AKIN GUMP,AKIN GUMP STRAUSS HAUER & FELD LLP,manual
ALLIANT INS. SERVICES,ALLIANT INSURANCE SERVICES,manual
ALPHA EPLISON PI,ALPHA EPSILON PI FOUNDATION,manual
ALTMAN,THE ALTMAN COMPANIES,manual
"ALTRIA CLIENT SERVICES, LLC",ALTRIA,manual
AMERICAN FREE ENTERPRISE CHAMBER OF CO,AMERICAN FREE ENTERPRISE CHAMBER OF COMMERCE,manual
AMOLD & PORTER,ARNOLD & PORTER,manual
ANS,ARIZONA NUTRITIONAL SUPPLEMENTS,manual
APF PROPEERTIES LLC,APF PROPERTIES,manual
APPOLLO,APOLLO GLOBAL MANAGEMENT,manual
ARCOS COMMUNICATIONS - SELF,ARCOS COMMUNICATIONS,manual
ARES MGT LLC,ARES MANAGEMENT,manual
ARONOV,ARONOV REALTY MANAGEMENT INC,manual
ARTIMUS CONSTRUCTION,ARTIMUS,manual
ASBURY AUTOMOTIVE GROUP,ASBURY,manual
"ASCEND CAPITAL GROUP INTERNATIONAL, LL","ASCEND CAPITAL GROUP INTERNATIONAL, LLC",manual
ASSOCIATED JEWISH COMMITTEE,THE ASSOCIATED: JEWISH FEDERATION OF BALTIMORE,manual
ASSOCIATES IN GASTROENTEROLOGY OF UC,"ASSOCIATES IN GASTROENTEROLOGY OF UNION COUNTY, P.A.",manual
ASSOCIATES IN GASTROENTEROLOGY OF UNIO,"ASSOCIATES IN GASTROENTEROLOGY OF UNION COUNTY, P.A.",manual
ATLANTA FINE HOMES / SOTHEBY'S INTL,ATLANTA FINE HOMES SOTHEBY'S INTERNATIONAL REALTY,manual
ATLANTA FINE HOMES SOTHEBY'S INT'L REA,ATLANTA FINE HOMES SOTHEBY'S INTERNATIONAL REALTY,manual
"ATLANTIC REALTY CONSULTANTS, INC","ATLANTIC REALTY ASSOCIATES, INC",manual
ATRIUM HEALTH CAROLINAS MEDICAL CENTER,ATRIUM HEALTH,manual
ATRIUM HEATH CAROLINAS MEDICAL CENTER,ATRIUM HEALTH,manual
"ATTORNEY/WOLF, RIFKIN, ET AL.","WOLF, RIFKIN, SHAPIRO, SCHULMAN & RABKIN, LLP",manual
AUSTIN RADIOLOGICAL ASSOCIATES,AUSTIN RADIOLOGICAL ASSOCIATION,manual
AUSTIN RADIOLOGICAL ASSOCIATION ASSOCI,AUSTIN RADIOLOGICAL ASSOCIATION,manual
AUSTIN RADIOLOGY ASSOCIATES,AUSTIN RADIOLOGICAL ASSOCIATION,manual
AXIA HOE LOANS,AXIA HOME LOANS,manual
B WOLF N SONS,B WOLF AND SONS,manual
BAGNOLS FAMILY OFFICE INVESTMENT PTRS,BAGNOLS FAMILY OFFICE INVESTMENT PARTNERS,manual
BAKER DONELSON BEARMAN CALDWELL BERKOW,BAKER DONELSON,manual
BANK OF AMERICA SECURITIES,BANK OF AMERICA,manual
BARUCH COLLEGE CITY UNIVERSITY OF NEW,"BARUCH COLLEGE, CITY UNIVERSITY OF NEW YORK",manual
BAY CHILDRENS MEDICAL GROUP,BAY CHILDREN'S MEDICAL GROUP (BCMG),manual
BAY CHILDRENS MEDICAL GRY,BAY CHILDREN'S MEDICAL GROUP (BCMG),manual
BED BATH,BED BATH & BEYOND,manual
"BED, BATH & BEYOND",BED BATH & BEYOND,manual
BAY CHILDRENS PHYSICIAN GROUP,BAY CHILDREN'S MEDICAL GROUP (BCMG),manual
BAY CHILDRENS PHYSICIANS MEDICAL GR,BAY CHILDREN'S MEDICAL GROUP (BCMG),manual
BAY CHILDRENS PHYSICIANS MEDICAL GROUP,BAY CHILDREN'S MEDICAL GROUP (BCMG),manual
BAYBERRY HEALTH CARE,BAYBERRY CARE CENTER,manual
"BENESCH, FRIEDLANDER, COPLAN & ARONOFF","BENESCH, FRIEDLANDER, COPLAN & ARONOFF LLP",manual
BENIKO IN.,BENIKO INC,manual
BERKELEY LAB,LAWRENCE BERKELEY NATIONAL LAB,manual
BERKSHIRE HATHAWAY HOME SERVICES LAFFE,BERKSHIRE HATHAWAY HOMESERVICES LAFFEY INTERNATIONAL REALTY,manual
BERMAN ENTERPRISES,BERMAN ENT,manual
"BERMAN, BERMAN, BERMAN, SCHNEIDER & LO","BERMAN, BERMAN, BERMAN, SCHNEIDER & LOWARY LLP",manual
BERNSTEIN LITOWITZ,BERNSTEIN LITOWITZ BERGER & GROSSMANN,manual
BEST CARE,"BEST CARE NURSES REGISTRY, INC.",manual
BILZIN SUMBERG,BILZIN SUMBERG BAENA PRICE & AXELROD LLP,manual
BILZIN SUMBERG BAENA PRICE & AXELROD L,BILZIN SUMBERG BAENA PRICE & AXELROD LLP,manual
BJC,BETH JACOB CONGREGATION,manual
BNB REAL ESATTE,BNB REALTY,manual
"BOARD MEMBER, PIONEER NATURAL RESOURCE",PIONEER NATURAL RESOURCES COMPANY,manual
BOSTON UNIVERSITY QUESTROM SCHOOL OF B,BOSTON UNIVERSITY,manual
BRADLEY LAW FIRM,BRADLEY ARANT,manual
BRAMAN MANAGEMENT,BRAMAN MANAGEMENT ASSOCIATES,manual
BRANDYWINE MANAGEMENT,BRANDYWINE CONSTRUCTION AND MANAGEMENT,manual
BRIOWN AND BROWN INSURANCE,BROWN & BROWN INSURANCE,manual
BROADER VIEW :: ISRAEL RESOURCE CENTER,BROADER VIEW: ISRAEL RESOURCE CENTER,manual
BROOKS ENERGY COMONAY,BROOKS,manual
BROWN DISTRIBUTING CO. OF WEST PALM BE,BROWN DISTRIBUTING CO. OF WEST PALM BEACH,manual
BROWNSTEIN,BROWNSTEIN HYATT FARBER SCHRECK,manual
BUILDING OWNERS AND MANAGER ASSOCIATIO,BUILDING OWNERS AND MANAGERS ASSOCIATION,manual
"BURKE, WARREN, MACKAY & SERRITELLA, P.","BURKE, WARREN, MACKAY & SERRITELLA, P.C.",manual
BVISION,BVISION SPORTSMEDIA,manual
C.T. BAUER COLLEGE OF BUSINESS AT THE,C.T. BAUER COLLEGE OF BUSINESS AT THE UNIVERSITY OF HOUSTON,manual
CACTUS,CACTUS WELLHEAD,manual
CALIFORNIA STATE UNIVERSITY LONG BEACH,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",manual
CAMPBELL PROPERTIES,CAMPBELL PROPERTY MANAGEMENT,manual
CAPITAL RESEARCH & MANAGEMENT,CAPITAL GROUP,manual
CAPITOL GROUP,CAPITAL GROUP,manual
CARDIOLOGY PC OF HARTFORD HEALTHCARE M,CARDIOLOGY PC OF HARTFORD HEALTHCARE MEDICAL GROUP,manual
CARDIOVASCUALR ASSOF OF NORTH JERSEY,CARDIOVASCULAR ASSOCIATES OF NORTH JERSEY,manual
CARDIOVASCULAR CONSULTANTS OF LONG ISL,"CARDIOVASCULAR CONSULTANTS OF LONG ISLAND, P.C.",manual
CARDOZO SCHOOL OF LAW,CARDOZO LAW SCHOOL,manual
CARROLL COUNTY EMERGENCY MANAGEMENT AN,CARROLL COUNTY EMERGENCY MANAGEMENT AND COMMUNICATIONS,manual
CARYN GROEDEL & ASSOCIATES LPA,"CARYN GROEDEL & ASSOCIATES CO., LPA",manual
CBG,CBG REAL ESTATE,manual
"CBRE CAPITAL MARKETS, INC",CBRE,manual
CEDAR SINAI,CEDARS-SINAI MEDICAL CENTER,manual
CEDARS SINAI IMAGING MEDICAL GROUP,CEDARS-SINAI MEDICAL CENTER,manual
CEDARS TOWERS SURGICAL GROUP INC,CEDARS TOWERS SURGICAL MEDICAL GROUP INC,manual
CEDARS TOWERS SURGICAL MEDICAL GROUP I,CEDARS TOWERS SURGICAL MEDICAL GROUP INC,manual
CENTER FOR JEWISH PHILANTHROPY OF GREA,CENTER FOR JEWISH PHILANTHROPY OF GREATER PHOENIX,manual
CHAPMAN,CHAPMAN & CUTLER,manual
CHARLES & LYNN SCHUSTERMAN FAMILY PHIL,CHARLES & LYNN SCHUSTERMAN FAMILY PHILANTHROPIES,manual
CHILDRENS HOSPITAL LA,CHILDREN'S HOSPITAL LOS ANGELES,manual
CHUH SCHOOLS,CHUH SCHOOL DISTRICT,manual
CITY OF NEW YORK,NEW YORK CITY,manual
CLEAY GOTTLIEB,CLEARY GOTTLIEB STEEN & HAMILTON,manual
"CME, 20 S. WACKER DR., CHICAGO",CME GROUP,manual
COALITION FOR RESPONSIBLE COMMUNITY DE,COALITION FOR RESPONSIBLE COMMUNITY DEVELOPMENT,manual
COLBY COLLEGE AND BETH ISRAEL CONGREGA,COLBY COLLEGE + BETH ISRAEL CONGREGATION,manual
COLDWELL BANKER COMMERCIAL,COLDWELL BANKER REALTY,manual
COLUMBIA FINANCIAL ADVISORS,COLUMBIA COMPANIES,manual
COLUMBIA UNIVERSITY IRVING MEDICAL CEN,COLUMBIA UNIVERSITY,manual
COLUMBIA UNIVERSITY MED CENTER,COLUMBIA UNIVERSITY,manual
COMCAST UNIVERSAL,NBCUNIVERSAL,manual
COMMUNICARE HEALTH SERVICES,COMMUNICARE,manual
CONRAD HILTON FOUNDATION,CONRAD N. HILTON FOUNDATION,manual
"CONSTRUCTION MANAGEMENT ASSOCIATES, IN",CONSTRUCTION MANAGEMENT ASSOCIATES,manual
CORNELL MEDICAL COLLEGE,WEILL CORNELL MEDICINE,manual
"CORNERSTONE PSYCHIATRY ASSOCIATES, P.A","CORNERSTONE PSYCHIATRY ASSOCIATES, P.A.",manual
CORPAC STEEL PRODCUTS CORP,CORPAC GROUP,manual
COZEN OCCONOR,COZEN OCONNOR,manual
CRESSON MANAGEMENT,CRESSON MANAGEMENT VIRGIN ISLANDS LLC,manual
CRESSON MANAGEMENT USVI LLC,CRESSON MANAGEMENT VIRGIN ISLANDS LLC,manual
CREATIVE PLANNIG,CREATIVE PLANNING,manual
CSRPS,CSR PRIVACY SOLUTIONS,manual
CUNY SCHOOL OF MEDICINE,CUNY,manual
DANIEL B HEYMAN CPA,"DANIEL B HEYMAN, CPA APC",manual
DANTO INVESTMENTS,DANTO INVESTMENT CO,manual
DAROMA,DAROMA RESTAURANT EQUIPMENT CORP,manual
DAVID DANIEL,"DAVID DANIEL, M.D., P.C.",manual
DAVID SCHWARTZWALD MDPA,DAVID SCHWARTZWALD MDPA SFLSS,manual
DEBORAH B. SILVER ENTERTAINMENT,DEBORAH SILVER ENTERTAINMENT,manual
"DEBORAH GATES, JD, LLM ATTORNEY-AT-LAW","DEBORAH GATES, JD, LLM ATTORNEY AT LAW",manual
DELL TECH,DELL,manual
DELMAR GARDENS MANAGEMENT SERVICES,DELMAR GARDENS ENTERPRISES,manual
"DELMAR GARDENS MANAGEMENT SERVICES, IN","DELMAR GARDENS MANAGEMENT SERVICES, INC.",manual
DENTAL IMPLANTS AND PERIODONTAL HEALTH,DENTAL IMPLANTS AND PERIODONTAL HEALTH OF ROCHESTER,manual
"DEPARTMENT OF STATE, RET",U.S. DEPARTMENT OF STATE,manual
DEPT OF ARMY (WHITE SANDS MISSILE RANG,DEPARTMENT OF THE ARMY - WHITE SANDS MISSILE RANGE,manual
DEPT OF STATE,U.S. DEPARTMENT OF STATE,manual
DEPT. OF HEALTH AND HUMAN SERVICES,U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES,manual
DCC,DIAMOND CHEMICAL,manual
DIAMOND CHEMCIAL,DIAMOND CHEMICAL,manual
DIVOTS SPORTSWEAR,DIVOTS,manual
DORA NATURAL,DORA'S NATURALS INC,manual
DORA'S NATRUALS,DORA'S NATURALS INC,manual
DOUG LEGUM DEVELOPMENT,DOUGLAS LEGUM DEVELOPMENT,manual
EAR NOSE AND THROAT SURGEONS OF WESTER,EAR NOSE AND THROAT SURGEONS OF WESTERN NEW ENGLAND,manual
EARLY LEARNING COALITION MIAMI DADE AN,EARLY LEARNING COALITION OF MIAMI-DADE AND MONROE,manual
EDJCO & HOPE HOMELESS HOUSING,EDJCO,manual
EIGHTFOLD RE CAPITAL,EIGHTFOLD REAL ESTATE CAPITAL LP,manual
EISEMAN LEVINE LEHRHAUPT & KAKOYIANNIS,"EISEMAN LEVINE LEHRHAUPT & KAKOYIANNIS, P.C.",manual
EISENBERG INV GROUP,EISENBERG GROUP,manual
ELEVATE PARTNERS,ELEVATE ENT PARTNERS,manual
ELLIOTT MANAGEMENT,ELLIOTT INVESTMENT MANAGEMENT LP,manual
ELLIOTT INVESTMENT MANAGEMENT,ELLIOTT INVESTMENT MANAGEMENT LP,manual
ELLIOTT MGMT.,ELLIOTT INVESTMENT MANAGEMENT LP,manual
EMA CAP,EMA INVESTMENT MANAGEMENT,manual
EMA INVESTMENTS,EMA INVESTMENT MANAGEMENT,manual
EMORY UNIVERSITY,EMORY,manual
EMPIRE PROMOS.COM,EMPIRE PROMOS,manual
ENCOMPASS HEALTH,ENCOMPASS HEALTHCARE,manual
ENCOMPASSHEALTHCARE.CARE,ENCOMPASS HEALTHCARE,manual
ENDEAVOR HEALTHCARE,ENDEAVOR HEALTH,manual
ENDEAVOR HEATH,ENDEAVOR HEALTH,manual
ENDEVOUR HEALTH,ENDEAVOR HEALTH,manual
ENFIELD PRIVATE CREDIT LLC,ENFIELD CAPITAL PARTNERS,manual
ENVIRONMENTAL PROTECTION AGENCY,US ENVIRONMENTAL PROTECTION AGENCY,manual
ENVOY BUSINESS ADVOCATE,ENVOY MERCHANT ADVOCATE LLC,manual
EVENSKY & KATZ/FOLDES WEALTH MGMT,EVENSKY & KATZ / FOLDES WEALTH MGT,manual
EWD. C. LEVY CO,EDW. C. LEVY CO.,manual
EYE PHYSICIANS OF OC,EYE PHYSICIANS OF ORANGE COUNTY PC,manual
"EYE PHYSICIANS OF ORANGE COUNTY, NEW Y",EYE PHYSICIANS OF ORANGE COUNTY PC,manual
EYE PHYSICINS OF ORANGE COUNTY NY,EYE PHYSICIANS OF ORANGE COUNTY PC,manual
FAMILY AND CHILDREN'S EYE CARE,FAMILY & CHILDREN'S EYE CENTER OF NM,manual
FCE,FRANK CONSOLIDATED ENTERPRISES,manual
FDD,FOUNDATION FOR DEFENSE OF DEMOCRACIES,manual
FEDERAL GOVT,FEDERAL GOVERNMENT,manual
FEDERAL HOME LOAN BANK OF SAN FRANCISC,FEDERAL HOME LOAN BANK OF SAN FRANCISCO,manual
FERNANDO SALVATO PA,FERNANDO SALVATO MDPA,manual
"FIBA SERVICES, AND TAMPA JCCS AND FED","FIBA SERVICES, AND TAMPA JCCS AND FEDERATION",manual
"FISHMAN, BLOCK AND DIAMOND, BY CERITY",FISHMAN BLOCK + DIAMOND BY CERITY PARTNERS,manual
