hid,employer_name,verdict,evidence,source_url
93,LIPSEY'S,premises,Lipsey's LLC is a wholesale firearms/shooting-sports distributor whose FFL license and BBB business profile list this Baton Rouge address as its operating location.,https://www.bbb.org/us/la/baton-rouge/profile/wholesale-sporting-goods/lipseys-llc-0835-25000059
125,SHANNON FABRICS,premises,Shannon Fabrics is a fabric wholesaler/retailer whose Yelp business listing places its storefront at this Los Angeles Alameda Street address in the LA fabric/garment corridor.,https://www.yelp.com/biz/shannon-fabrics-los-angeles
81,JERICHO CAPITAL,premises,"Jericho Capital is a hedge fund manager whose own site and a Hong Kong exchange disclosure place its offices at this Madison Avenue Manhattan address, a commercial office building.",https://www.jerichocap.com/
87,LANGSAM PROPERTY SERVICES,premises,Langsam Property Services Corp's own company website lists this Bronx address as its office.,https://www.langsampropertyservices.com/index.html
91,LEON KOROL CO,premises,Leon Korol Co's own company site and BBB profile identify this Elk Grove Village address as the headquarters of the family liquidation firm operating since 1959.,https://www.leonkorol.com/about-us
96,MADALUXE GROUP,premises,"MadaLuxe Group's headquarters at this Seal Beach address is confirmed by Dun & Bradstreet, ZoomInfo and The Org as the operating office of the luxury-goods distributor.",https://www.zoominfo.com/pic/madaluxe-group/353833408
98,MB DAVIS GROUP,premises,MB Davis Group announced in its own press release that it moved its headquarters to this Austin address.,https://mbdgrp.com/mbd-group-moves-to-austin-tx/
112,PLYMOUTH BEEF,premises,Plymouth Beef's own company website lists this Hunts Point Food Distribution Center address in the Bronx as its business location.,https://plymouthbeef.com/
127,"SHUMAKER, LOOP & KENDRICK",premises,"Shumaker, Loop & Kendrick's own law firm website lists this Toledo address as one of its office locations.",https://www.shumaker.com/offices/toledo-oh/
131,STERLING FLOOR DESIGNS LTD,premises,Sterling Floor Designs Ltd's own company contact page lists this Commack address as its business location.,https://sterlingfloordesigns.com/contact/
133,TEXAS IRON AND METAL,premises,Texas Iron and Metal's own company website lists this Houston address as its steel yard/business location.,https://www.texasironandmetal.com/when-you-need-steel-dealers-you-can-count-on-visit-texas-iron-and-metal/
148,WOLMAN WEALTH MANAGEMENT,premises,Wolman Wealth Management's D&B business directory profile and other business listings identify this Culver City address as its office.,https://www.dnb.com/business-directory/company-profiles.wolman_wealth_management_inc.9f4995245783fa9112db167bbaa18bcc.html
82,JOHN HENRY HOMES,premises,"John Henry Homes' own company website lists this Reed Hartman Highway, Cincinnati OH office as the company's contact address for its home-building business.",https://www.johnhenryhomes.com/contact-us
89,LAVITSKY COMPUTER LABORATORIES INC,home,"This is the eponymous one-person consulting/software firm of its owner; D&B, Manta and YellowPages all place it at this Bridgewater NJ address with no indication of a separate public office premises.",
132,SURRY INVESTMENT ADVISORS,home,"Surry Investment Advisors LLC is a solo investment-advisory practice registered at this address on a rural road in the tiny NH town it is named after, with no indication of a separate public office premises.",
100,MINUTE MEN INC,premises,"Minute Men (Minutemen Workforce Solutions) is a staffing/HR company whose Cleveland office is listed at this Carnegie Avenue address on BBB, Yelp and its own locations page.",https://minutemenstaffing.com/locations/cleveland-ohio/
110,PASSION GROWERS,premises,"Passion Growers LLC, a wholesale flower importer/rose grower, is listed at this Miami address (Doral flower-import district) in D&B, Yellow Pages and import-activity records as its business location.",https://www.dnb.com/business-directory/company-profiles.passion_growers_llc.17d476bc59cda244303dabdc6d8e9bac.html
78,INNOVATIONS IN EDUCATION LLC,home,"The company's own site lists a personal (verizon.net) contact email and a single named contact at this Woodstock cul-de-sac address, consistent with a small home-based childcare-training consultancy rather than a public office.",
99,MFAL CONSULTING LLC,home,Sole source is the Florida Sunbiz annual-report address for a since-dissolved LLC; no public business premises (office/storefront) for the consulting firm is evidenced.,
114,PROLIFIC ELECTRONICS LLC,home,"Only a business-registry aggregator lists this Bel Air, Los Angeles residential-lane address for the LLC; no company website or business listing shows a public office/storefront there.",
