rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
363,LATHROPGPM,corrected,Lathrop GPM LLP,2323 Grand Blvd,Kansas City,MO,64108,Lathrop GPM website footer,https://www.lathropgpm.com/offices/kansas-city,"Firm address is 2323 Grand Blvd, not 2345 Grand Blvd as published."
370,LOCKTON,correct,Lockton Companies,"444 W 47th St, Suite 900",Kansas City,MO,64112,Lockton official office listing,https://global.lockton.com/offices/us-kansas-city-headquarters,Published address matches Lockton global headquarters.
371,LOEB & LOEB LLP,correct,Loeb & Loeb LLP,"10100 Santa Monica Blvd, Suite 2200",Los Angeles,CA,90067,Loeb & Loeb LA office page,https://www.loeb.com/en/locations/los-angeles,Published 22nd Floor matches firm current Suite 2200 listing.
364,LAW OFFICES AND BERSHIRE HATHAWAY,ambiguous,,,,,,,,"Record appears to merge two different NJ-area employers for two different filers: a small solo law practice in Ventnor, and a Berkshire Hathaway HomeServices Fox & Roach real estate franchise office near Margate City. Cannot assign one office address to the combined employer text."
365,LAW OFFICES OF ELLYN BANK DUGOW PC,not_found,,,,,,,,Solo attorney practice in West Palm Beach FL area; published 2 Park Ave NY address does not match donor state and no current office address could be confirmed on an opened source.
366,"LAW OFFICES OF KEITH J. COHEN, ESQUIRE PC",corrected,"Law Offices of Keith J. Cohen, Esquire, P.C.","595 Skippack Pike, Suite 200",Blue Bell,PA,19422,Firm website contact page; PA Disciplinary Board attorney registry,https://keithcohenlaw.com/contact-us/,"Street number is 595 Skippack Pike, not 585 as published; confirmed by firm site and PA attorney registry."
367,LCA BANK CORP,correct,Milestone Bank (formerly LCA Bank Corporation),"310 S Main St, Suite 900",Salt Lake City,UT,84101,Milestone Bank contact page,https://www.milestonebank.com/contact-us,LCA Bank Corporation completed rebranding to Milestone Bank in Dec 2023; the published address is the current office.
368,LINKEDIN,correct,LinkedIn Corporation,1000 W Maude Ave,Sunnyvale,CA,94085,LinkedIn Careers Sunnyvale HQ page,https://careers.linkedin.com/Locations/SunnyvaleHQ,Published address matches LinkedIn global headquarters.
369,LISCR,corrected,"LISCR, LLC (The Liberian Registry)",22980 Indian Creek Dr,Sterling,VA,20166,Business directory listing (Buzzfile),https://www.buzzfile.com/business/L-I-S-C-R-703-790-3434,Published Duke St Alexandria address is outdated; current US office is in Sterling/Dulles VA.
372,LOMAX CARPET AND TILE MART,correct,Lomax Carpet & Tile Mart,230 N Dupont Hwy,New Castle,DE,19720,Yellow Pages listing,https://www.yellowpages.com/new-castle-de/lomax-carpet-tile-mart,Published address matches current store location.
