rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
235,ELNET-US,correct,"ELNET-US (Friends of ELNET / Europe-Israel Leadership Network, US)","5215 Old Orchard Road, Suite 880",Skokie,IL,60077,Charity Navigator profile for Friends of ELNET (EIN 45-2212393),https://www.charitynavigator.org/ein/452212393,IRS Form 990 address matches published address exactly.
236,EMBE,not_found,,,,,,,,"Donor Brian Landow (Bal Harbour FL exec) is not connected to the Sioux Falls SD nonprofit EmBe; he filed a 2024 trademark for EMBE (coffee cafes) tied to Landow Management Holdings LLC, Bal Harbour FL, but no public office address for that venture could be confirmed on an opened page."
237,EMPIRE BRUSHES,not_found,,,,,,,,"Donor appears linked to Jack Gantz of Empire Brush Co, Greenville NC (per ECU archive bio); several paywalled/blocked directories (D&B, Bizapedia, CorporationWiki) list 2400 N Memorial Dr but none could be opened to confirm current address."
238,ENCOMPASS HEALTHCARE,corrected,Encompass Health Corporation,9001 Liberty Parkway,Birmingham,AL,35242,SEC EDGAR company filing address (CIK 0000785161),https://data.sec.gov/submissions/CIK0000785161.json,"Published address (1 Freedom Way) is not Encompass Health's HQ; SEC filer address is 9001 Liberty Parkway, Birmingham AL 35242."
239,ENFINITY GLOBAL,correct,Enfinity Global Inc.,"501 Brickell Key Drive, Suite 302",Miami,FL,33131,BisProfiles (FL Sunbiz-sourced) company profile for Enfinity Global Inc.,https://bisprofiles.com/fl/enfinity-global-f21000003148,Florida registered principal address matches published street/city/state/zip.
240,ENGINE,corrected,Engine (Engine Advocacy),700 Pennsylvania Ave SE,Washington,DC,20003,Engine official contact page,https://engine.is/contact,"Organization moved; current address is 700 Pennsylvania Ave SE, not the published 1100 15th St NW address."
241,ENVISION HEALTHCARE,correct,Envision Healthcare,"20 Burton Hills Blvd, Suite 300",Nashville,TN,37215,Envision Healthcare official contact page,https://www.evhc.net/contact-us,Matches published address (minor suite number difference).
242,EP WEALTH ADVISORS,corrected,"EP Wealth Advisors (Chicago North Shore office, advisor David Rappaport)","5202 Old Orchard Road, Suite 160",Skokie,IL,60077,EP Wealth Advisors advisor bio page for David Rappaport,https://www.epwealth.com/our-team/chicago-north-shore/david-rappaport,"Donor David Rappaport works at EP Wealth's Chicago North Shore office (near Fontana WI), not the SF headquarters that was published."
243,EPCF,correct,El Paso Community Foundation,"333 N Oregon St, 2nd Floor",El Paso,TX,79901,El Paso Community Foundation official contact page,https://epcf.org/contact-us,Address matches published office address exactly.
244,EPIC BROKERS,corrected,EPIC Insurance Brokers & Consultants (EPIC Brokers),"1140 Avenue of the Americas, 8th Floor",New York,NY,10036,EPIC Brokers official locations page,https://www.epicbrokers.com/locations/,Published address (1345 Ave of the Americas) is outdated; current NY HQ is 1140 Avenue of the Americas.
245,EPIPHANY DERMATOLOGY,corrected,Epiphany Dermatology of Georgia (Dr. Mark Holzberg's practice),710 Newnan Crossing Bypass,Newnan,GA,30263,"Epiphany Dermatology provider page for Mark Holzberg, MD",https://www.epiphanydermatology.com/providers/mark-holzberg-md/,"Donors Mark and Karen Holzberg are tied to the Newnan GA (metro Atlanta) location, not the Austin TX corporate address published."
246,EPSTEIN BECKER AND GREEN,correct,"Epstein Becker & Green, P.C.",875 Third Avenue,New York,NY,10022,Chambers and Partners office directory listing for Epstein Becker Green,https://chambers.com/office/epstein-becker-green-pc-new-york-usa-usa-5:3400,HQ address matches published address exactly.
