rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
299,HEIGHTS ADVISORS,correct,Heights Advisors LLC,"140 Remsen St, 2nd Fl",Brooklyn,NY,11201,PincusCo company profile,https://www.pincusco.com/company/heights-advisors/,Real estate investment/development firm; published address matches directory listing exactly.
300,HELLER INDUSTRIES,correct,"Heller Industries, Inc.",4 Vreeland Road,Florham Park,NJ,07932,Heller Industries contact page,https://www.hellerindustries.com/contact/,Published address matches company headquarters.
301,HERZL-NER TAMID CONSERVATIVE CONGREGATION,corrected,Herzl-Ner Tamid Conservative Congregation,3700 E Mercer Way,Mercer Island,WA,98040,WLCJ North by Northwest Region listing,https://www.wlcjregion.org/nxnw/?location=congregation-herzl-ner-tamid-2,Synagogue is on Mercer Island WA (matches Bellevue WA rabbi donor); published Skokie IL address is wrong.
302,HIGHTECHLENDING,correct,"HighTechLending, Inc.","2030 Main St, Suite 500",Irvine,CA,92614,HighTechLending contact page,https://hightechlending.com/contact-us/,Published address matches corporate headquarters.
303,HIGHTOWER,correct,Hightower Advisors,"200 W Madison St, 25th Floor",Chicago,IL,60606,Hightower contact page,https://hightoweradvisors.com/contact/,Published address (Ste 2500) matches HQ 25th floor listing.
304,HILLEL,correct,Hillel International,800 Eighth St NW,Washington,DC,20001,Hillel International contact page,https://www.hillel.org/contact-hillel/,Published address matches Hillel International headquarters.
305,HMH,corrected,HMH (Houghton Mifflin Harcourt Co),125 High St,Boston,MA,02110,SEC EDGAR company filing page,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001580156&type=&dateb=&owner=include&count=10,Company relocated from 222 Berkeley St years ago; SEC filer record shows current business address on High St.
306,HODGES WARD ELLIOTT,correct,Hodges Ward Elliott,"3384 Peachtree Rd NE, 6th Floor",Atlanta,GA,30326,Hodges Ward Elliott offices page,https://hodgeswardelliott.com/offices/,Published address matches the firm own Atlanta office listing exactly.
307,HOSPITAL FOR SPECIAL SURGERY,correct,Hospital for Special Surgery,535 East 70th St,New York,NY,10021,HSS official site footer,https://www.hss.edu/about-hss-contact-us.asp,Published address matches HSS main campus.
308,HPE,correct,Hewlett Packard Enterprise Company,1701 E Mossy Oaks Road,Spring,TX,77389,HPE investor relations page,https://www.hpe.com/us/en/about/company-information.html,Published address matches HPE corporate headquarters.
309,HUDSON ADVISORS,corrected,Hudson Advisors L.P.,"2711 North Haskell Avenue, Suite 1800",Dallas,TX,75204,SEC EDGAR company filing page,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001138420&type=&dateb=&owner=include&count=10,Lone Star Funds affiliate relocated from Commerce St Wells Fargo Tower to Haskell Ave; SEC filer record shows current address.
310,IBEX MEDICAL ANALYTICS (ISRAEL),corrected,Ibex Medical Analytics,202 Washington St,Brookline,MA,02445,ZoomInfo company profile,https://www.zoominfo.com/c/ibex-medical-analytics-ltd/443537873,"US/Massachusetts office is in Brookline, not Newton; published city is wrong. Global HQ is Tel Aviv, Israel; Brookline MA office is the closer fit for a US-based donor."
311,IBG HOLDINGS,correct,IBG LLC (Interactive Brokers Group),1 Pickwick Plaza,Greenwich,CT,06830,SEC EDGAR company filing page,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=IBG+LLC&type=&dateb=&owner=include&count=40,Published address matches SEC filer business address exactly.
312,IDW,correct,IDW Media Holdings / IDW Entertainment,2765 Truxtun Rd,San Diego,CA,92106,IDW Entertainment Terms and Conditions page,https://www.idwentertainment.com/terms-and-conditions/,Published address matches company's own legal notice address.
313,IFC CO,corrected,International Finance Corporation (World Bank Group),2121 Pennsylvania Avenue NW,Washington,DC,20433,IFC contact directory,https://www.ifc.org/en/contact-directory,"Published street/zip (2121 K St NW, 20037) do not match; IFC headquarters is 2121 Pennsylvania Ave NW, 20433."
314,IGN,correct,IGN Entertainment,2231 S Barrington Ave,Los Angeles,CA,90064,Bandana company location listing,https://bandana.com/companies/10c23598-8845-4392-a72b-cfcffbd51283/locations/a2debd94-9c9c-43d0-82a8-7ca659ad3f8e,Published address matches IGN headquarters exactly.
