rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
491,ROSENTHAL FOODS CORP,correct,Rosenthal Foods Corp,1313 11th St Ste 2,Sioux City,IA,51105,Yellow Pages listing,https://www.yellowpages.com/sioux-city-ia/mip/rosenthal-foods-459633721,Family-owned wholesale food distributor in Sioux City since 1922; published address matches.
492,ROSEWOOD,corrected,Rosewood Realty Group,"38 East 29th Street, 5th Floor",New York,NY,10016,LinkedIn company page,https://www.linkedin.com/company/rosewood-realty-group,"Occupation is commercial real estate/investment sales brokerage in NYC market, matching Rosewood Realty Group, not the Dallas-based Rosewood Corp/Hotels published."
493,RPC,corrected,RPC Holdings (Royal Palm Companies),"333 SE 2nd Avenue, Suite 3000",Miami,FL,33131,RPC Holdings official site,https://www.rpcholdings.com/,"Donor surname Kodsi matches the family of RPC/Royal Palm Companies' CEO; occupations developer/office fit a real-estate developer, not the Atlanta oilfield-services RPC Inc that the published address belongs to."
494,"RUSSELL A. BIKOFF, ATTORNEY AND COUNSELOR AT LAW",home_based,"Russell A. Bikoff, Attorney and Counselor at Law",,McLean,VA,22101,BikoffLaw website,https://www.bikofflaw.com/,"Solo attorney practice publicly listed only at a PO Box, consistent with a home-based sole practice; no street office found."
495,SAUL EWING,correct,Saul Ewing LLP,"1735 Market Street, Suite 3400",Philadelphia,PA,19103,Saul Ewing official site,https://www.saul.com/locations/philadelphia,Matches firm's current Philadelphia headquarters office.
496,SBNY,corrected,SBNY (Jordan Levy venture fund),130 West 25th Street,New York,NY,10001,SBNY official site,https://www.sbny.vc/contact,"Donor is a venture capitalist whose fund is branded SBNY (sbny.vc); occupation venture capital does not fit Signature Bank (ticker SBNY, collapsed 2023), which the published address named."
497,SCHONFELD STRATEGIC ADVISORS,corrected,"Schonfeld Strategic Advisors, LLC",590 Madison Avenue,New York,NY,10022,Wikipedia (Schonfeld Strategic Advisors infobox),https://en.wikipedia.org/wiki/Schonfeld_Strategic_Advisors,Current headquarters; published 299 Park Ave address is outdated.
498,SCHWEIGER DERMATOLOGY,correct,Schweiger Dermatology Group,"110 E 55th St, 14th Floor",New York,NY,10022,Bandana company location listing,https://bandana.com/companies/400f490a-de05-43c2-ab03-864243dea8ee/locations/956f7ae4-30ad-4c48-8b76-41360ad3dc70,"Matches group's corporate headquarters (Park 55 Building, Midtown East); group also has NJ clinic locations near the donors."
499,SCI TECH AUTOMOTIVE,correct,Sci-Tech Automotive,12010 S US Hwy 71,Grandview,MO,64030,Sci-Tech Automotive Yelp/BBB listing,https://www.yelp.com/biz/sci-tech-automotive-grandview,Kansas City-area auto repair shop; matches published address.
500,SCP MANAGEMENT,correct,SCP Management LLC,"1 Seneca Tower, Suite 2400",Buffalo,NY,14203,SBNY official site (shared Buffalo office),https://www.sbny.vc/contact,Buffalo venture-capital vehicle of the same Jordan Levy investor group as SBNY/Seed Capital Partners; matches published Seneca Tower address.
